text,label
I don't give a damn.,profanity
The Food is really interesting.,clean
Your mom should jump off a bridge.,abuse
All whites are freaks.,hate_speech
Just my motherfucker luck.,profanity
"Such freaks, typical of whites.",hate_speech
What the fuck is this?,profanity
"I hate blacks, they belong in jail.",hate_speech
immigrants are a disease.,hate_speech
Your mom should jump off a bridge.,abuse
I hope This guy dies.,abuse
Nobody likes You.,abuse
"Such scum, typical of gays.",hate_speech
I am so crappying tired.,profanity
"I hate gays, they are a disease.",hate_speech
My friend went to the match.,clean
"I hate muslims, they are inferior.",hate_speech
You're nothing but a failure.,abuse
I hope This guy dies.,abuse
The author should jump off a bridge.,abuse
UR SO BAD HAHAHA x100,spam_toxic
uninstall the game!!!,spam_toxic
She think about the weather.,clean
Shut up you absolute dumbass.,abuse
"I hate jews, they are a disease.",hate_speech
hahaha SPAM SPAM SPAM,spam_toxic
Shut up you absolute failure.,abuse
The Food is really great.,clean
This guy are a complete coward.,abuse
All women are scum.,hate_speech
Just my fucking luck.,profanity
All gays are invaders.,hate_speech
Are you craping kidding me?,profanity
NOOB NOOB NOOB!!!,spam_toxic
I hope The author dies.,abuse
This Place is really interesting.,clean
I am so fucking tired.,profanity
The company heard about the movie.,clean
I am so crappying tired.,profanity
hahaha git gud trash,spam_toxic
"Go kill yourself, He!",abuse
He will visit the new update.,clean
Your family should jump off a bridge.,abuse
muslims should be deported.,hate_speech
SPAM SPAM SPAM!!!,spam_toxic
hahaha SPAM SPAM SPAM,spam_toxic
He are a complete dumbass.,abuse
The Movie is really great.,clean
The Match is really beautiful.,clean
The New Update is really informative.,clean
Just my damn luck.,profanity
All blacks are freaks.,hate_speech
cry more kid lmaooo,spam_toxic
He love the movie.,clean
The Food is really great.,clean
The OP should jump off a bridge.,abuse
hahaha cry more kid,spam_toxic
"Go kill yourself, He!",abuse
The company love that book.,clean
The OP are a complete retard.,abuse
uninstall the game uninstall the game,spam_toxic
hahaha NOOB NOOB NOOB,spam_toxic
Just my fucking luck.,profanity
You should jump off a bridge.,abuse
The New Update is really good.,clean
The Food is really informative.,clean
cry more kid lmaooo,spam_toxic
This asshole is broken.,profanity
cry more kid!!!,spam_toxic
whites are inferior.,hate_speech
You think about the weather.,clean
My friend think about this place.,clean
She should jump off a bridge.,abuse
He heard about the movie.,clean
"I hate gays, they are a disease.",hate_speech
The Movie is really nice.,clean
SPAM SPAM SPAM!!!,spam_toxic
My friend will visit this new song.,clean
Are you motherfuckering kidding me?,profanity
"I hate men, they should be deported.",hate_speech
You are a complete failure.,abuse
The Movie is really beautiful.,clean
Just my bitch luck.,profanity
I hope This guy dies.,abuse
I am so crappying tired.,profanity
We need to get rid of muslims.,hate_speech
whites deserve to die.,hate_speech
What the crappy is this?,profanity
He heard about the food.,clean
I am so bullshiting tired.,profanity
They think about working here.,clean
Holy fucking!,profanity
NOOB NOOB NOOB!!!,spam_toxic
I don't give a fuck.,profanity
immigrants ruin everything.,hate_speech
KYS x100,spam_toxic
hispanics should be deported.,hate_speech
UR SO BAD HAHAHA UR SO BAD HAHAHA,spam_toxic
hahaha ez pz get rekt,spam_toxic
They think about the food.,clean
uninstall the game lmaooo,spam_toxic
You're nothing but a retard.,abuse
"I hate christians, they are inferior.",hate_speech
UR SO BAD HAHAHA!!!,spam_toxic
"Such invaders, typical of blacks.",hate_speech
LMAO UR TRASH x100,spam_toxic
immigrants deserve to die.,hate_speech
blacks are a disease.,hate_speech
I hope The OP dies.,abuse
git gud trash lmaooo,spam_toxic
I hope He dies.,abuse
I hope He dies.,abuse
The team will visit that book.,clean
cry more kid!!!,spam_toxic
SPAM SPAM SPAM lmaooo,spam_toxic
We need to get rid of christians.,hate_speech
cry more kid cry more kid,spam_toxic
UR SO BAD HAHAHA lmaooo,spam_toxic
I don't give a damn.,profanity
UR SO BAD HAHAHA UR SO BAD HAHAHA,spam_toxic
Your mom are a complete pathetic joke.,abuse
uninstall the game uninstall the game,spam_toxic
The Weather is really awesome.,clean
"Go kill yourself, You!",abuse
All women are inferiors.,hate_speech
All muslims are terrorists.,hate_speech
asians belong in jail.,hate_speech
ez pz get rekt lmaooo,spam_toxic
hahaha ez pz get rekt,spam_toxic
That was a craping disaster.,profanity
You're nothing but a loser.,abuse
muslims are inferior.,hate_speech
hahaha LMAO UR TRASH,spam_toxic
I don't give a bitch.,profanity
You recommend the weather.,clean
He love the food.,clean
The Weather is really nice.,clean
All muslims are freaks.,hate_speech
The OP are a complete moron.,abuse
KYS KYS,spam_toxic
That Book is really helpful.,clean
hahaha SPAM SPAM SPAM,spam_toxic
Are you assholeing kidding me?,profanity
hahaha git gud trash,spam_toxic
He enjoy that book.,clean
cry more kid lmaooo,spam_toxic
You're nothing but a loser.,abuse
"I hate men, they are a disease.",hate_speech
Shut up you absolute pathetic joke.,abuse
"I hate immigrants, they ruin everything.",hate_speech
Working Here is really beautiful.,clean
You're nothing but a pathetic joke.,abuse
"Go kill yourself, She!",abuse
SPAM SPAM SPAM!!!,spam_toxic
We need to get rid of women.,hate_speech
I don't give a damn.,profanity
All blacks are parasites.,hate_speech
The Movie is really okay.,clean
This New Song is really awesome.,clean
hahaha UR SO BAD HAHAHA,spam_toxic
She like this new song.,clean
I went to the food.,clean
"Such trash, typical of jews.",hate_speech
Your mom are a complete coward.,abuse
Nobody likes Your mom.,abuse
I don't give a asshole.,profanity
Holy fucking!,profanity
git gud trash!!!,spam_toxic
UR SO BAD HAHAHA x100,spam_toxic
asians belong in jail.,hate_speech
hahaha uninstall the game,spam_toxic
What the bitch is this?,profanity
"Go kill yourself, He!",abuse
This Place is really great.,clean
immigrants are inferior.,hate_speech
SPAM SPAM SPAM lmaooo,spam_toxic
That was a crappying disaster.,profanity
My friend learned the new update.,clean
I am so motherfuckering tired.,profanity
"Go kill yourself, The author!",abuse
NOOB NOOB NOOB NOOB NOOB NOOB,spam_toxic
UR SO BAD HAHAHA UR SO BAD HAHAHA,spam_toxic
hahaha LMAO UR TRASH,spam_toxic
Just my fucking luck.,profanity
My friend think about the weather.,clean
I went to the food.,clean
All asians are scum.,hate_speech
We love the match.,clean
uninstall the game x100,spam_toxic
This New Song is really interesting.,clean
I hope This guy dies.,abuse
KYS lmaooo,spam_toxic
hahaha SPAM SPAM SPAM,spam_toxic
cry more kid x100,spam_toxic
hahaha UR SO BAD HAHAHA,spam_toxic
UR SO BAD HAHAHA lmaooo,spam_toxic
I hope You dies.,abuse
This is fucking.,profanity
The team recommend working here.,clean
She learned that book.,clean
I recommend this place.,clean
She are a complete pathetic joke.,abuse
Just my fuck luck.,profanity
The company will visit the new update.,clean
We need to get rid of men.,hate_speech
"Go kill yourself, The OP!",abuse
You're nothing but a failure.,abuse
We will visit the food.,clean
Everyone recommend the weather.,clean
This New Song is really great.,clean
You're nothing but a moron.,abuse
I am so motherfuckering tired.,profanity
hispanics are a disease.,hate_speech
What the bullshit is this?,profanity
SPAM SPAM SPAM lmaooo,spam_toxic
The Movie is really great.,clean
The Movie is really awesome.,clean
The Movie is really amazing.,clean
All christians are animals.,hate_speech
We need to get rid of blacks.,hate_speech
That Book is really nice.,clean
You're nothing but a idiot.,abuse
He's a complete crappy.,profanity
hahaha KYS,spam_toxic
Your mom are a complete dumbass.,abuse
This New Song is really awesome.,clean
This New Song is really okay.,clean
What the shit is this?,profanity
Just my motherfucker luck.,profanity
"I hate blacks, they should be deported.",hate_speech
The OP are a complete pathetic joke.,abuse
I don't give a asshole.,profanity
You're nothing but a pathetic joke.,abuse
hispanics should be killed.,hate_speech
He's a complete crap.,profanity
They love the match.,clean
LMAO UR TRASH!!!,spam_toxic
SPAM SPAM SPAM!!!,spam_toxic
immigrants deserve to die.,hate_speech
Are you shiting kidding me?,profanity
She should jump off a bridge.,abuse
Are you bitching kidding me?,profanity
All christians are animals.,hate_speech
We need to get rid of gays.,hate_speech
I hope She dies.,abuse
We need to get rid of whites.,hate_speech
I will visit this new song.,clean
cry more kid cry more kid,spam_toxic
Holy bitch!,profanity
I don't give a bullshit.,profanity
You're nothing but a retard.,abuse
"I hate jews, they ruin everything.",hate_speech
I learned working here.,clean
We like the weather.,clean
Your mom are a complete dumbass.,abuse
We need to get rid of muslims.,hate_speech
We need to get rid of women.,hate_speech
My friend learned the food.,clean
This Place is really beautiful.,clean
LMAO UR TRASH LMAO UR TRASH,spam_toxic
I hope Your family dies.,abuse
This fucking is broken.,profanity
Nobody likes You.,abuse
They recommend the movie.,clean
I will visit the new update.,clean
He's a complete bullshit.,profanity
Everyone saw the movie.,clean
Just my asshole luck.,profanity
Your mom are a complete coward.,abuse
Just my asshole luck.,profanity
The author should jump off a bridge.,abuse
uninstall the game!!!,spam_toxic
The company saw the movie.,clean
men ruin everything.,hate_speech
We need to get rid of hispanics.,hate_speech
ez pz get rekt ez pz get rekt,spam_toxic
That Book is really good.,clean
Working Here is really informative.,clean
All whites are terrorists.,hate_speech
We need to get rid of christians.,hate_speech
All jews are parasites.,hate_speech
UR SO BAD HAHAHA!!!,spam_toxic
hahaha git gud trash,spam_toxic
All christians are inferiors.,hate_speech
cry more kid cry more kid,spam_toxic
I don't give a crap.,profanity
"Such parasites, typical of gays.",hate_speech
"Go kill yourself, He!",abuse
The Match is really amazing.,clean
The New Update is really beautiful.,clean
"Go kill yourself, Your mom!",abuse
This Place is really beautiful.,clean
hahaha cry more kid,spam_toxic
women are a disease.,hate_speech
All whites are trash.,hate_speech
hahaha NOOB NOOB NOOB,spam_toxic
"I hate men, they are inferior.",hate_speech
My friend saw the movie.,clean
hahaha KYS,spam_toxic
Shut up you absolute failure.,abuse
christians should be deported.,hate_speech
What the asshole is this?,profanity
"I hate asians, they deserve to die.",hate_speech
Are you bullshiting kidding me?,profanity
UR SO BAD HAHAHA UR SO BAD HAHAHA,spam_toxic
"Such animals, typical of immigrants.",hate_speech
All hispanics are invaders.,hate_speech
hahaha NOOB NOOB NOOB,spam_toxic
The company like the match.,clean
Nobody likes Your mom.,abuse
"I hate christians, they ruin everything.",hate_speech
The company recommend the match.,clean
I don't give a crappy.,profanity
Nobody likes You.,abuse
The Movie is really interesting.,clean
I don't give a fucking.,profanity
christians are a disease.,hate_speech
Are you assholeing kidding me?,profanity
We need to get rid of christians.,hate_speech
That was a motherfuckering disaster.,profanity
"Such trash, typical of asians.",hate_speech
Shut up you absolute idiot.,abuse
LMAO UR TRASH!!!,spam_toxic
KYS!!!,spam_toxic
Shut up you absolute ugly piece of trash.,abuse
asians are inferior.,hate_speech
The Food is really okay.,clean
You're nothing but a retard.,abuse
This shit is broken.,profanity
"I hate men, they ruin everything.",hate_speech
This New Song is really great.,clean
uninstall the game!!!,spam_toxic
That was a bullshiting disaster.,profanity
hahaha git gud trash,spam_toxic
The author are a complete failure.,abuse
The New Update is really good.,clean
This is shit.,profanity
"Go kill yourself, Your mom!",abuse
We need to get rid of hispanics.,hate_speech
This crap is broken.,profanity
Are you fucking kidding me?,profanity
git gud trash lmaooo,spam_toxic
KYS x100,spam_toxic
Working Here is really interesting.,clean
That was a damning disaster.,profanity
The company recommend the movie.,clean
Just my fucking luck.,profanity
Are you motherfuckering kidding me?,profanity
You should jump off a bridge.,abuse
git gud trash git gud trash,spam_toxic
"I hate muslims, they ruin everything.",hate_speech
She went to the food.,clean
I hope She dies.,abuse
They will visit this place.,clean
"I hate asians, they belong in jail.",hate_speech
I don't give a bullshit.,profanity
"Go kill yourself, The OP!",abuse
This is shit.,profanity
women should be killed.,hate_speech
men are a disease.,hate_speech
The Movie is really amazing.,clean
The team recommend this place.,clean
NOOB NOOB NOOB!!!,spam_toxic
"I hate immigrants, they should be killed.",hate_speech
I hope He dies.,abuse
cry more kid cry more kid,spam_toxic
The Match is really nice.,clean
"I hate blacks, they belong in jail.",hate_speech
"I hate asians, they are inferior.",hate_speech
She think about this new song.,clean
That was a bullshiting disaster.,profanity
Everyone heard about this place.,clean
This New Song is really interesting.,clean
git gud trash git gud trash,spam_toxic
Working Here is really beautiful.,clean
hahaha LMAO UR TRASH,spam_toxic
I don't give a fucking.,profanity
I hope The author dies.,abuse
This is fuck.,profanity
You should jump off a bridge.,abuse
hahaha NOOB NOOB NOOB,spam_toxic
KYS!!!,spam_toxic
This bullshit is broken.,profanity
You learned this new song.,clean
The Weather is really great.,clean
git gud trash git gud trash,spam_toxic
This is bitch.,profanity
I am so craping tired.,profanity
KYS x100,spam_toxic
men should be deported.,hate_speech
My friend like the weather.,clean
KYS!!!,spam_toxic
The team think about this new song.,clean
What the motherfucker is this?,profanity
I hope The OP dies.,abuse
That Book is really awesome.,clean
You should jump off a bridge.,abuse
He's a complete fucking.,profanity
You're nothing but a failure.,abuse
blacks are a disease.,hate_speech
Holy shit!,profanity
The team went to the weather.,clean
Holy bitch!,profanity
Nobody likes He.,abuse
"I hate immigrants, they are a disease.",hate_speech
"Such parasites, typical of whites.",hate_speech
jews belong in jail.,hate_speech
immigrants are a disease.,hate_speech
The Food is really nice.,clean
SPAM SPAM SPAM!!!,spam_toxic
He love the food.,clean
The team heard about this new song.,clean
immigrants are a disease.,hate_speech
The author should jump off a bridge.,abuse
men ruin everything.,hate_speech
Nobody likes The author.,abuse
The team think about working here.,clean
Your mom are a complete idiot.,abuse
What the asshole is this?,profanity
She are a complete coward.,abuse
NOOB NOOB NOOB NOOB NOOB NOOB,spam_toxic
Shut up you absolute retard.,abuse
men should be killed.,hate_speech
"Such invaders, typical of whites.",hate_speech
Are you assholeing kidding me?,profanity
"Such freaks, typical of whites.",hate_speech
I am so bitching tired.,profanity
"Such inferiors, typical of jews.",hate_speech
hahaha git gud trash,spam_toxic
LMAO UR TRASH LMAO UR TRASH,spam_toxic
I hope He dies.,abuse
She think about this new song.,clean
He's a complete bullshit.,profanity
The team love the new update.,clean
That was a crappying disaster.,profanity
That Book is really beautiful.,clean
He's a complete fuck.,profanity
We saw the weather.,clean
"Such trash, typical of men.",hate_speech
whites should be killed.,hate_speech
"Go kill yourself, You!",abuse
"Such freaks, typical of asians.",hate_speech
What the fuck is this?,profanity
KYS KYS,spam_toxic
Shut up you absolute pathetic joke.,abuse
We need to get rid of whites.,hate_speech
The Weather is really awesome.,clean
"Such trash, typical of whites.",hate_speech
LMAO UR TRASH lmaooo,spam_toxic
LMAO UR TRASH LMAO UR TRASH,spam_toxic
immigrants should be killed.,hate_speech
This is fucking.,profanity
You're nothing but a dumbass.,abuse
NOOB NOOB NOOB NOOB NOOB NOOB,spam_toxic
women should be killed.,hate_speech
The Movie is really great.,clean
She should jump off a bridge.,abuse
We need to get rid of gays.,hate_speech
NOOB NOOB NOOB x100,spam_toxic
All immigrants are freaks.,hate_speech
Shut up you absolute failure.,abuse
They went to the food.,clean
UR SO BAD HAHAHA lmaooo,spam_toxic
The team love working here.,clean
You enjoy the weather.,clean
ez pz get rekt lmaooo,spam_toxic
That Book is really great.,clean
"Go kill yourself, The OP!",abuse
I hope He dies.,abuse
I hope Your family dies.,abuse
"I hate jews, they are inferior.",hate_speech
You're nothing but a idiot.,abuse
"Such terrorists, typical of gays.",hate_speech
The New Update is really helpful.,clean
All men are trash.,hate_speech
The Food is really helpful.,clean
The Food is really great.,clean
Nobody likes The author.,abuse
Nobody likes The OP.,abuse
"I hate whites, they should be killed.",hate_speech
Holy crap!,profanity
She went to the food.,clean
Holy bitch!,profanity
cry more kid lmaooo,spam_toxic
We need to get rid of jews.,hate_speech
That was a bullshiting disaster.,profanity
Shut up you absolute moron.,abuse
I am so shiting tired.,profanity
ez pz get rekt!!!,spam_toxic
We need to get rid of immigrants.,hate_speech
This crap is broken.,profanity
This New Song is really good.,clean
We heard about that book.,clean
You're nothing but a pathetic joke.,abuse
He are a complete coward.,abuse
KYS lmaooo,spam_toxic
That Book is really okay.,clean
Shut up you absolute dumbass.,abuse
SPAM SPAM SPAM!!!,spam_toxic
All gays are freaks.,hate_speech
The Movie is really nice.,clean
We need to get rid of men.,hate_speech
You're nothing but a failure.,abuse
Holy asshole!,profanity
That was a fuckinging disaster.,profanity
Shut up you absolute retard.,abuse
"I hate men, they should be deported.",hate_speech
LMAO UR TRASH x100,spam_toxic
The Food is really good.,clean
You're nothing but a dumbass.,abuse
Shut up you absolute pathetic joke.,abuse
immigrants deserve to die.,hate_speech
I like this place.,clean
hahaha uninstall the game,spam_toxic
You're nothing but a dumbass.,abuse
I hope Your family dies.,abuse
All asians are trash.,hate_speech
All women are parasites.,hate_speech
This Place is really informative.,clean
"Such terrorists, typical of gays.",hate_speech
I am so craping tired.,profanity
The New Update is really awesome.,clean
I hope Your family dies.,abuse
SPAM SPAM SPAM x100,spam_toxic
SPAM SPAM SPAM!!!,spam_toxic
Nobody likes This guy.,abuse
Just my shit luck.,profanity
This Place is really awesome.,clean
All jews are inferiors.,hate_speech
hahaha uninstall the game,spam_toxic
Nobody likes He.,abuse
blacks deserve to die.,hate_speech
uninstall the game x100,spam_toxic
I am so motherfuckering tired.,profanity
You're nothing but a pathetic joke.,abuse
git gud trash!!!,spam_toxic
The Match is really helpful.,clean
All women are inferiors.,hate_speech
The Food is really interesting.,clean
I saw the weather.,clean
The Match is really good.,clean
That was a bullshiting disaster.,profanity
Are you bullshiting kidding me?,profanity
LMAO UR TRASH x100,spam_toxic
That was a assholeing disaster.,profanity
"I hate men, they are inferior.",hate_speech
I don't give a asshole.,profanity
asians should be killed.,hate_speech
You will visit the new update.,clean
hahaha KYS,spam_toxic
SPAM SPAM SPAM SPAM SPAM SPAM,spam_toxic
ez pz get rekt ez pz get rekt,spam_toxic
"I hate muslims, they ruin everything.",hate_speech
The New Update is really great.,clean
cry more kid!!!,spam_toxic
Shut up you absolute ugly piece of trash.,abuse
I hope Your family dies.,abuse
"I hate hispanics, they are inferior.",hate_speech
The Weather is really nice.,clean
The company heard about this new song.,clean
The Match is really amazing.,clean
All blacks are parasites.,hate_speech
"Such scum, typical of immigrants.",hate_speech
I am so shiting tired.,profanity
hahaha SPAM SPAM SPAM,spam_toxic
"Such animals, typical of women.",hate_speech
All muslims are parasites.,hate_speech
She heard about the new update.,clean
"Go kill yourself, Your family!",abuse
git gud trash lmaooo,spam_toxic
All asians are freaks.,hate_speech
"Go kill yourself, She!",abuse
Nobody likes This guy.,abuse
That was a fucking disaster.,profanity
Shut up you absolute retard.,abuse
We need to get rid of asians.,hate_speech
SPAM SPAM SPAM lmaooo,spam_toxic
hahaha LMAO UR TRASH,spam_toxic
cry more kid x100,spam_toxic
uninstall the game!!!,spam_toxic
UR SO BAD HAHAHA lmaooo,spam_toxic
Just my bullshit luck.,profanity
That was a assholeing disaster.,profanity
Holy crap!,profanity
cry more kid!!!,spam_toxic
I hope Your family dies.,abuse
I hope The author dies.,abuse
"Such invaders, typical of gays.",hate_speech
"Such trash, typical of muslims.",hate_speech
You're nothing but a pathetic joke.,abuse
I will visit the movie.,clean
NOOB NOOB NOOB NOOB NOOB NOOB,spam_toxic
christians are a disease.,hate_speech
This crappy is broken.,profanity
The Match is really interesting.,clean
You think about the new update.,clean
cry more kid lmaooo,spam_toxic
"I hate muslims, they belong in jail.",hate_speech
SPAM SPAM SPAM SPAM SPAM SPAM,spam_toxic
He should jump off a bridge.,abuse
I hope The author dies.,abuse
All jews are inferiors.,hate_speech
muslims should be killed.,hate_speech
uninstall the game lmaooo,spam_toxic
I hope He dies.,abuse
uninstall the game uninstall the game,spam_toxic
He's a complete asshole.,profanity
You should jump off a bridge.,abuse
You heard about the weather.,clean
git gud trash git gud trash,spam_toxic
We need to get rid of muslims.,hate_speech
Your family are a complete moron.,abuse
"Such scum, typical of muslims.",hate_speech
UR SO BAD HAHAHA lmaooo,spam_toxic
men ruin everything.,hate_speech
What the motherfucker is this?,profanity
We need to get rid of women.,hate_speech
Working Here is really nice.,clean
That was a bitching disaster.,profanity
hahaha KYS,spam_toxic
gays are a disease.,hate_speech
"I hate women, they ruin everything.",hate_speech
Are you assholeing kidding me?,profanity
All gays are animals.,hate_speech
"I hate gays, they should be deported.",hate_speech
Nobody likes He.,abuse
He's a complete bitch.,profanity
Holy bullshit!,profanity
LMAO UR TRASH LMAO UR TRASH,spam_toxic
I enjoy the weather.,clean
This is bitch.,profanity
I hope Your mom dies.,abuse
The Food is really nice.,clean
I enjoy the movie.,clean
Are you fucking kidding me?,profanity
The Food is really great.,clean
Are you fuckinging kidding me?,profanity
Nobody likes The OP.,abuse
I hope You dies.,abuse
He think about this place.,clean
Holy shit!,profanity
All muslims are scum.,hate_speech
This is damn.,profanity
Shut up you absolute loser.,abuse
I will visit the food.,clean
I hope The OP dies.,abuse
We need to get rid of muslims.,hate_speech
All muslims are freaks.,hate_speech
The New Update is really amazing.,clean
This is crappy.,profanity
I am so fuckinging tired.,profanity
christians should be deported.,hate_speech
Are you bitching kidding me?,profanity
Nobody likes The author.,abuse
This bullshit is broken.,profanity
UR SO BAD HAHAHA x100,spam_toxic
Shut up you absolute retard.,abuse
All hispanics are invaders.,hate_speech
NOOB NOOB NOOB x100,spam_toxic
This guy are a complete moron.,abuse
LMAO UR TRASH!!!,spam_toxic
She enjoy this place.,clean
immigrants ruin everything.,hate_speech
"Such terrorists, typical of men.",hate_speech
You went to the food.,clean
hahaha SPAM SPAM SPAM,spam_toxic
hahaha uninstall the game,spam_toxic
The Food is really helpful.,clean
All blacks are freaks.,hate_speech
This is damn.,profanity
That Book is really good.,clean
That was a fuckinging disaster.,profanity
I learned the match.,clean
NOOB NOOB NOOB!!!,spam_toxic
That was a motherfuckering disaster.,profanity
He's a complete bullshit.,profanity
I am so fuckinging tired.,profanity
This New Song is really beautiful.,clean
muslims deserve to die.,hate_speech
All muslims are parasites.,hate_speech
I am so damning tired.,profanity
ez pz get rekt x100,spam_toxic
They love this place.,clean
Holy asshole!,profanity
All immigrants are terrorists.,hate_speech
Nobody likes He.,abuse
"I hate whites, they belong in jail.",hate_speech
That was a motherfuckering disaster.,profanity
asians are inferior.,hate_speech
The Weather is really good.,clean
This is shit.,profanity
Just my bullshit luck.,profanity
gays deserve to die.,hate_speech
He should jump off a bridge.,abuse
Shut up you absolute retard.,abuse
I don't give a damn.,profanity
You should jump off a bridge.,abuse
This Place is really interesting.,clean
cry more kid cry more kid,spam_toxic
"Go kill yourself, You!",abuse
Nobody likes He.,abuse
"Such inferiors, typical of whites.",hate_speech
NOOB NOOB NOOB NOOB NOOB NOOB,spam_toxic
We need to get rid of women.,hate_speech
ez pz get rekt lmaooo,spam_toxic
You should jump off a bridge.,abuse
All muslims are terrorists.,hate_speech
Your family are a complete pathetic joke.,abuse
hahaha SPAM SPAM SPAM,spam_toxic
hahaha LMAO UR TRASH,spam_toxic
UR SO BAD HAHAHA UR SO BAD HAHAHA,spam_toxic
women ruin everything.,hate_speech
I hope The OP dies.,abuse
Your family should jump off a bridge.,abuse
I heard about the match.,clean
All jews are inferiors.,hate_speech
All hispanics are trash.,hate_speech
Just my fucking luck.,profanity
Just my fuck luck.,profanity
The OP are a complete idiot.,abuse
"I hate blacks, they are a disease.",hate_speech
The New Update is really okay.,clean
That was a damning disaster.,profanity
The Movie is really helpful.,clean
I am so assholeing tired.,profanity
Are you fucking kidding me?,profanity
You're nothing but a coward.,abuse
They will visit the new update.,clean
This guy are a complete idiot.,abuse
KYS KYS,spam_toxic
Everyone love the food.,clean
We need to get rid of muslims.,hate_speech
We love the new update.,clean
What the asshole is this?,profanity
I hope She dies.,abuse
This Place is really nice.,clean
Nobody likes Your family.,abuse
You're nothing but a loser.,abuse
The Match is really awesome.,clean
That Book is really great.,clean
immigrants are a disease.,hate_speech
This is crap.,profanity
hahaha uninstall the game,spam_toxic
You saw working here.,clean
Holy bitch!,profanity
We need to get rid of men.,hate_speech
Just my fuck luck.,profanity
That was a assholeing disaster.,profanity
This Place is really beautiful.,clean
I hope She dies.,abuse
Just my asshole luck.,profanity
Shut up you absolute moron.,abuse
The OP should jump off a bridge.,abuse
Just my motherfucker luck.,profanity
He's a complete bullshit.,profanity
We need to get rid of men.,hate_speech
gays are inferior.,hate_speech
"I hate jews, they are inferior.",hate_speech
ez pz get rekt x100,spam_toxic
uninstall the game uninstall the game,spam_toxic
whites should be deported.,hate_speech
The Movie is really awesome.,clean
"Go kill yourself, Your mom!",abuse
cry more kid lmaooo,spam_toxic
Shut up you absolute dumbass.,abuse
"Such inferiors, typical of muslims.",hate_speech
All immigrants are invaders.,hate_speech
Are you motherfuckering kidding me?,profanity
LMAO UR TRASH x100,spam_toxic
Everyone went to the new update.,clean
What the shit is this?,profanity
He's a complete bullshit.,profanity
"I hate immigrants, they ruin everything.",hate_speech
"Such invaders, typical of gays.",hate_speech
The author are a complete moron.,abuse
My friend love the new update.,clean
What the crappy is this?,profanity
men belong in jail.,hate_speech
You should jump off a bridge.,abuse
christians ruin everything.,hate_speech
He's a complete damn.,profanity
